Project,BIC,BFC,Bug-inducing Development Activity,Compatibility Errors,Intrinsic Errors,Location With Fixing Changes,Feature Interaction,Knowledge,Change Size,Description
spring-projects/spring-hateoas,d0ff83c62ec0901cdf827c889197760491e5d1e7,47486f42d7998146ddd2bad95894436d76960af4,fix,No,Unchecked Null,Same Method,0,Project,2998,Bic uses a wrapper class and does not consider null
spring-projects/spring-hateoas,8c4824245e6df47407209403a8516fd66444c77f,75bb8f4dac717740c1d468248f672168442c68dd,feat,No,Business Error,Same Location,0,Domain,7369,"BIC fully supports level 4 URI, but does not properly handle host templated scenarios"
gitlab4j/gitlab4j-api,f94a51d7e590159fffaa47c898cb7602569d99d9,d1f22d8c896c4652cac743391f6d0b4e30622917,feat,Data Flow,No,Different Packages,0,Project & Domain,642,"Instead of using the generic type new TypeReference<List<T>>() {}, use constructCollectionType(List.class, returnType) to make strict serialization constraints. However, Issue.class id is int, but the actual data may be String-number"
amplafi/htmlcleaner,903a6a764a50fb6abc18ad48ec62c85c79207afb,d31e0932618519b0275e38d8321c8638c10fde95,feat,Data Flow,No,Different Packages,1,Project,1606,"BIC has been refactored and enhanced, resulting in changes in the initial value of the field and subsequent parsing behavior."
antlr/stringtemplate4,8ad2c3dbdceeb33266da748fc209b45218916f08,025337a708ba6846a94de0784487347c24a8a0fa,fix,No,Uncaught Exception,Same Method,0,Project & Domain,124,"BIC adjusted the order of if else and put containskey first, without considering that key cannot be cast (compared to keys already in the map)"
alibaba/druid,db187586a08cef19923064c9f88bd1f495919128,ba51efd738500fb0be05e91b4a70b2fe432b8fac,feat,Data Flow,No,Different Packages,1,Project,706,Bic adds TYPE to the keyword map
alibaba/druid,df8d99b468e85aed87351b48e121414325165533,cbdfd80d6e2e315823272b85980fdf9b73493396,feat,No,Uncaught Exception,Same Method,0,Domain,2802,"BIC adds support for mysql6, but does not handle InvocationTargetException"
alibaba/druid,5804eea0c9b01411babac031bfaee089bf34bd37,a588725f6514e8e47b74e249c83e782670f63a67,perf,Invocation,No,Same Class,1,Project & Domain,7408,"Bic wanted to improve performance, so a lot of modifications were made, including changing the original logic of outputting integers (it originally directly used toString of large integers, but Bic changed it to convert it to long first, and then call the function that processes the long output)"
alibaba/druid,f9adf9e72a5d58b397a7010ef0d4c4bfc558ffdc,b39bdf7515b6d60c44eb5bdd9ef2ccbb9f454ba8,refactor,Data Flow,No,Different Packages,0,Project & Domain,2220,"Bic refactored SQLUtils, which made it unsuitable for different DBTypes."
alibaba/druid,6a26f35ebc1630f7a6bf0a13c9252b059953ee75,758e42ef5d05823a9f813c71197e18eea2e99c59,refactor,No,Business Error,Same Method,0,Domain,33411,"In order to reduce memory usage, bic was reimplemented and an overloaded function with integer parameters was set, and the getParameter logic of returning Map was deleted."
alibaba/druid,94638ad16faa5aebaf5d0523314ac6eee7940e67,73ba75d30be640a545a86b9f456183f8ab58a925,fix,No,Business Error,Same Method,0,Domain,707,"Bic has made a fix, adding a judgment condition that exceptioncount is 0. When preparedStatement throws exception, it is directly closed; however, it is not correctly deleted from pscache"
alibaba/druid,33914b35dfee3a46b3999f7f0a196d3573bdba24,a5e4bdd645f871a3ebba0c5da9f80755e73298b5,feat,No,Business Error,Same Method,0,Domain,2815,"Bic improves sql parser, but not finished"
alibaba/druid,ad4403deface9f755152b9ccc291245209dff017,b40dda40252e82067f540cd9eb220e8f3d80a301,feat,No,Business Error,Same Location,0,Project & Domain,1586,There is a problem with the identifier setting
alibaba/druid,6c875e1ee0edaee72dd76c7aaf929bfaca518092,293ba6f6fd02e7fc38efe5742067d8456c60c18d,feat,Data Flow,No,Same Class,0,Project & Domain,2109,"bic improves sql parser, ignores the compatibility of commas"
google/gson,23e2916947940864f828505531aa130fba6d8743,c731abb293e79b26e53db3264306768fb86ef4c4,feat,No,Unchecked Null,Same Method,0,Domain,593,"BIC makes TypeAdapter more tolerant of null, returning the nullsafe version of the object instead of returning the object directly, but ignoring the case where the object itself is null and has no nullsafe members"
fabric8io/docker-maven-plugin,eb469236deb13b01628b2863f6d8189da645ec30,0f66250160871fb441584ca00cf05b5e1c5fbaa5,refactor,No,Business Error,Same Method,0,Domain,520,"Bic has been enhanced, resulting in the loss of the original logic of adding quotes to strings containing spaces"
decorators-squad/eo-yaml,3171c848d42b7d32c69a3e608f6d30bfa39ad390,6d8dfb071e8d8308e24b159b7fc61ea5b9068f13,feat,No,Business Error,Same Method,0,Project & Domain,1347,"BIC attempts to add recursive processing for nested structures, but does not recursively process comments, resulting in key-value pairs being merged correctly but comments retaining their original values ​​when conflicting overwrites are required"
decorators-squad/eo-yaml,c4f4d4d6091de781f6448bd6973b06684f5168f6,3dec4ba20c445b36cb38683e8036b69247f297d4,fix,No,Business Error,Same Method,0,Project & Domain,700,"Bic fixes the quotation mark matching problem, adds quotation marks to key for matching, and the logic of endswith is incorrect"
decorators-squad/eo-yaml,dfc4e7fb7974945b8aa9fb42dcd406629c7d5b5c,7498e7ed0f1479ba96b4579734490e34e572bd13,feat,Invocation,No,Same Package,0,Project & Domain,1377,Is there a line break at the end of returnsValue?
decorators-squad/eo-yaml,c4f4d4d6091de781f6448bd6973b06684f5168f6,e0466f252d7ed97f15f5cb8cb47516b64551be3f,fix,No,Business Error,Same Method,0,Domain,124,Bic tried to fix the parsing of escaped keys and did not handle whitespace correctly
tntim96/JSCover,14475c403c83989e61fc23a53022da6333c70ad7,9e9fd7fca361297cc65214f272876b7ae56384d3,feat,No,Business Error,Same Location,0,Project,2253,"BIC adds the output of source name in the log, BFC removes it (the test case tests the output without adding source name)"
jmrozanec/cron-utils,ff67527e69868a2c2b05ab8a1ddcca8d8f896e44,329e40f188db70ffd2730848d2899502ad9ecad2,"refactor,fix",No,API Misuse,Same Location,0,Project,6311,"bic needs to fix the wrong nextyear, after adding the code, in the case of cronDefinition.containsFieldDefinition(CronFieldName.YEAR), createInstance is used instead of getConstraint"
lightblueseas/jcommons-lang,eaa9de2c7f5391f1e3f8a82674b68f31d7f3a8ab,fbd289259c8042cf31dbdd664dce4d5112708f83,refactor,No,Business Error,Same Method,0,Programming,4282,"BIC has done a lot of refactoring, part of which is to change the flow control from try-finally to try-resource"
scijava/scijava-common,c4de809369ec0fc907fc3581cb34d51667c1f3d2,9a9e566487253355b1f06d3e6f635a38f9fcc2cc,feat,Data Flow,No,Different Packages,0,Project,779,"Bic has been enhanced to cancel the current module after the previous module is cancelled; however, the nested implementation leads to incorrect status"
scijava/scijava-common,c68bf459a9be52c6c4070e2122a4a1dbf9966466,beb6de2d8a31d3e783123a25eefc8b7e9dbef855,feat,No,Business Error,Same Method,0,Project,958,"Bic removed support for Service parameters, but BFC added it back."
cojen/Tupl,857b59d531b38274e73d5bd10266a92214016fd1,fa9260da575fb79ddd6a82cc2a2088c323deec19,feat,No,Business Error,Same Method,0,Domain,5291,"BIC adds lock-related controls and deletes some of the original skip logic, which causes StackOverFlow in loop calls"
cojen/Tupl,522226ffe0e5eeb9b135d686d9e0d754188b0651,0f952906324add4cf801cb259ce5c13745007a65,fix,No,Business Error,Same Method,0,Programming,5399,Ignoring bounds checking
doctau/garbagecat,cfe2e60b7ca29f53e669f76d0195b1b1fe57fdc0,8845f21d302605e37b517305fccf06cc8b003583,fix,No,Business Error,Same Location,0,Project,2327,"BIC modified the regular expression to try to fix the data parsing problem (added detailed cases), but the cases were not fully covered"
mooreds/gwt-crypto,da87907033e52830aaf8cfcd27f7d53bac4ff6b5,92a6a04f443f3317363f55c1adf1ba303b08cc9b,fix,No,Unchecked Null,Same Method,0,Programming,661,"Bic fixes/enhances the problem of not being able to decrypt non-English text, adds a static array, but there is a risk of not being initialized and does not add a null check"
addthis/stream-lib,b05dbce28a6dab82f20f31e4da28b29d2b736cef,644e4e9be40e0eb69a9aef6acee6ca28643f174b,perf,No,Business Error,Same Method,0,Project,766,"Bic uses Arrays.sort to replace the original sorting method and defines a new representation for sorting, but does not consider the problem of the highest bit flipping."
addthis/stream-lib,7d77608f4bcd7a31ca86a0231840895c860030d3,7323c20e4d61a2d474441e2ea9a3ffb5518c73f1,feat,Invocation,No,Same Package,1,Project,2690,"Bic implements the addAll function to handle merges, but there is a convention that the sizes must be the same."
lemire/javaewah,f720e70f48b8fe4a68c8c82074427f1fae7909a0,f837ba0d4cfb7954fbc06c9e5eb367c48347168b,fix,Data Flow,No,Same Class,0,Project,1236,"BIC adds last word related processing, but the logic is not fully added"
lemire/javaewah,89f5658f1ee5c57c256ceba3dde7462256aac83e,f720e70f48b8fe4a68c8c82074427f1fae7909a0,fix,Invocation,No,Same Class,1,Project & Domain,4925,"Due to improper handling of words after addingLiteralWord was changed to addWord, the internal state was incorrect and the method returned incorrect results."
lemire/javaewah,d679cadb706d958cd77cf1b7ce9da28d00ce0b08,4eaaee6c62b5ec93ccd66e99e1cbca6905bc9d6a,perf,No,Business Error,Same Location,0,Project,794,"Bic tried to optimize shift speed, but made the wrong change"
aliyun/aliyun-oss-java-sdk,f1851fb28eda885dda9f208fcfee8234a76d1930,97cd57d3fb231de76d655fb886e2236dbbe44501,feat,No,API Misuse,Same Location,0,Domain,1586,BIC adds support for KMS (Key Management Service). There is an API usage error in the added code.
wsky/top-push,09fee8dc8f80afa200c4357ff7c70ab75a38c18b,995c9cae9c92b65df174be197f6f6304f3d4f9b8,feat,No,Business Error,Same Location,0,Domain,1154,"BIC parsing message adds support for other protocols, but causes problems in parsing messages under the base protocol"
josephw/futoshiki,caeea3833136af1f960370c0ca26a7c6b448c422,143b4cd1aa1090ad9c7e425b6d01193ff85d8c63,feat,Invocation,No,Same Class,1,Project,756,"Bic changed the loop of a function from 1 to <length to 1 to <=length, resulting in the subsequent index being -1"
mybatis/mybatis-3,f301c5a4fea7b3ceb69a58eee388bca2711d46ce,9ce526091cc1e9f23a29a3d868eed33f8c9f7c78,feat,Data Flow,No,Same Class,0,Project & Domain,1084,"Bic has been enhanced, adding the judgment of NULL_TYPE_HANDLER_MAP, not using the correct initialization method, etc."
mybatis/mybatis-3,a91f6c8e720145052074cd74ae9c12399880f4ca,5c239b53d8edfd68bae7ab55c82cf63a5d043a27,feat,No,Business Error,Same Method,0,Project,476,"BIC adds support for selective lazy loading, condition calculation error"
camueller/SmartApplianceEnabler,8b453fb23e11abd3b414a0de3158956b71d8d1eb,7e17ca68a694690f4b94a90b3f0c5b4c8b37e9c5,feat,No,Business Error,Same Location,0,Project,14245,"Bic adds a judgment, the if condition may be wrong"
hyperledger/fabric-sdk-java,4c3f8fc6a524beb094cfeee93228e01607d5c52b,8b976c725f719a21a1a45f2c0102fb7d6ca8f16d,feat,No,Business Error,Same Method,1,Project,2672,"This is caused by the interaction between the TLS connection setup functionality and the newly required negotiationType property. The Endpoint class now enforces the presence of this property and will result in a RuntimeException if it is missing, causing the test to fail."
gresrun/jesque,97cdb6ee6d5e5b4c1e16af1beea486628afa6723,04f67e0b75de01d6be82609561c08b87ba585ce4,feat,No,Business Error,Same Location,0,Project,3436,"BIC added a restriction that namespace cannot be null or empty (by throwing an exception), while BFC removed this restriction."
gresrun/jesque,97cdb6ee6d5e5b4c1e16af1beea486628afa6723,b7b86106f5d5364d009bbd437e141d797d587819,feat,No,Business Error,Same Location,0,Project & Domain,124,"BIC adds the restriction of not allowing null and empty namespaces, and BFC removes the restriction on empty"
vert-x3/vertx-mqtt,bde9b4520ff992d5e44121e313bf875c26c66320,efd9e36763b4f530fb19ecef93304e30062912c0,refactor,No,Business Error,Same Class,0,Project & Domain,773,Bic refactored the Client without considering resetting the connection status
chewiebug/GCViewer,9b0959053c615226611f8ecc39caf1cf5e8132e4,3d36986dee0bf3bb72cc5cc1d28eb08074f6aed4,refactor,No,Business Error,Same Method,0,Programming,1118,"Bic extracts skip logic into a method, causing local variables to not be updated and resulting in an infinite loop"
chewiebug/GCViewer,3aae01f1620934a9a5f05719f896741177f1634e,1263fcfd46014a0ad9c4739689ab0fa769f68a13,feat,Invocation,No,Same Package,0,Project & Domain,2416,BIC has enhanced the timestamp-related logic and does not handle commas.
fasseg/exp4j,7a65306acd6d5b85a120e5c3e899a3b8bce4fd39,53d2b4007164abcab5e789041d90d5b15bddf269,refactor,No,Business Error,Same Method,0,Project,9928,"Bic has done a lot of refactoring, which broke the priority of modulo operations"
OfficeDev/ews-java-api,cf42b78594fa7f4aa2b70bf2f9c17801f8feead3,7a3b6d30a7afcccd754d9a6707975a01cdde3d32,fix,No,Business Error,Same Location,0,Domain,893,"BIC changed the time parsing class from SimpleDateFormat to Joda DateTimeFormat (to solve JDK6 support issues), and the necessary pattern is missing"
AsyncHttpClient/async-http-client,6ae67d7b96d82abadda57bba1122f4b50f181b52,7d338a5ad0c76bd458f463b07ba5544f4a91fe7f,refactor,No,API Misuse,Same Class,0,Domain,559,"Bic changed the API, the test case timed out (related to network connection), and IdleStateHandler was not used"
mrniko/netty-socketio,e693aaf36b9df00adb78d1698987b7dea2dd9679,10d824dba0092e42a4f4ccbc0fef493c1ffb23f5,refactor,Data Flow,No,Same Package,0,Project & Domain,726,"Bic changed the args list from null to emptyList, resulting in incorrect serialization results (null means there is no such field, and emptyList has an empty square bracket)"
logfellow/logstash-logback-encoder,c88fb9fc0bc38a6041bc430857c4f7cd7f2d80ff,3db3db6c60c286b8f85964a32829120ad9acc82a,feat,No,Unchecked Null,Same Location,0,Domain,3319,"Bic adds support for customField, but does not initialize the string, and subsequent calls to StringReader result in a null pointer"
logfellow/logstash-logback-encoder,10396b8c147d51490602c5881893f09d7e6e260b,c6a5972f8f68b4ac879b67b1d9106063d09d3d14,feat,No,Unchecked Null,Same Class,0,Domain,3319,BIC adds support for customFields. This field needs to be used to call JsonFactory's createParser (which does not check for null values ​​on strings) and does not initialize default values.
GoogleCloudPlatform/app-maven-plugin,8effcb6b0400f2023505542d0e8a2b01877a9577,6ff4ae8fbe8c8b37b75a1893c48c7ad2b23552bc,feat,No,Business Error,Same Location,0,Domain,533,"BIC changes the logic to add YAML files, but this removes the ability to process folders."
neuland/jade4j,0aa1b10b907a015428c7fd8bd1df98e379acf9b9,cb83ea4a4da96f9a4b87c1e3a713dddac0494958,refactor,Data Flow,No,Same Package,0,Project & Domain,4560,"BIC decomposes the Conditional Token into if/elseif and else tokens, changing the way conditions are processed so that nested code is not processed correctly."
DiUS/java-faker,e1151d6cca4920cb7c3bbc38011baa3de609c7fc,3a39c2f22e9d79ff715d031844d5c18f87689587,fix,No,API Misuse,Same Location,0,Domain,1335,"Bic uses BigDecimal to implement random number generation (for better randomness), but the rounding method is not set correctly, resulting in some boundaries not being reached"
DiUS/java-faker,3a39c2f22e9d79ff715d031844d5c18f87689587,d7560762a588f66997d1577b67b8095a6ca810f1,feat,No,Business Error,Same Location,0,Domain,777,"BIC adds numberBetween to use setscale, but does not take into account the rounding problem of min == max"
cflint/CFLint,3a1a8595766e8f591d1cc7e8f1469bd8df34f4cc,a303ef462253ad5abdb871fc043a170aed2014f0,feat,Invocation,No,Same Class,0,Project & Domain,4275,"BIC has made a lot of changes, and the condition for judging whether expression is null has been deleted, resulting in the scanning of empty expression."
cflint/CFLint,d3332ad65904e640dde7c92e338af1170238f635,fdc1bd006167715bc1d6518e41971daeec0c6bf3,feat,No,Uncaught Exception,Same Location,0,Programming,29578,"Bic adds tag acquisition, but does not handle exceptions"
cflint/CFLint,d913e3964f08e293f02208378f644ff027042306,180ee288d69b92e4bfe6d4f41739a316b83466cf,feat,No,Business Error,Same Method,0,Project,1158,"BIC adds error lister and error listener, and the output of error information in the subsequent specification has changed"
basho/riak-java-client,0d82a1a488a836d1c37d1bfe221f26bd233bafa2,3b999246c650d863a5144622738fba3ad12b867c,feat,Invocation,No,Different Packages,0,Project,6220,Bic returns List instead of Collection
logic-ng/LogicNG,0371a73fcf50ee68f1f38c78254c9c64d847edf8,02b45df89da53064a07d2fe6d34b1de4ac767727,feat,No,Business Error,Same Method,0,Project & Domain,25923,"BIC enhances the calculation of SMUs. For situations where calculation cannot be performed, the original specification was to throw an exception, and the later specification is to return null."
logic-ng/LogicNG,87f078c124e5611be639dda3df7d26b7ac5bc74b,d76c40e2ff95f3906658472befd25ceaffca4b3d,feat,No,Business Error,Same Location,0,Project,499,Bic adds a simplified return logic in FormulaFactory
jmurty/java-xmlbuilder,33c7ebe7eb22dbd425ddf583505c2f4627a38809,125daed5155928a88aa9d46bf19a46df67b68a3d,feat,No,Business Error,Same Location,0,Project & Domain,539,BIC introduces a sanity check that does not allow adding elements when prefix is ​​undefined; BFC removes this restriction
jmurty/java-xmlbuilder,d3d8bbee0005e8e36ec63b01b51159b8a8ec57b4,d6635a134533e3e51437660dfe2c858e318e8dfb,feat,No,Business Error,Same Location,0,Domain,2296,"Bic added find node logic, but did not consider the type issue when returning"
codehaus/jettison,145a74a5234e424244c0efbf07552ff17cd647db,d8dccfa9c27c0169fd970b2bd200545741cdeec5,feat,Invocation,No,Same Package,0,Project & Domain,694,"Bic fixes the problem of whether getString of explicit null needs to be wrapped, adds explicitNull field and its judgment (divides null into two types: explicitly specified as null in the string and no such key-value pair in the string), but does not add it to the isNull function, resulting in the key-value explicitly specified as null not being recognized as null."
codelibs/jcifs,dbe4fea4c82c2969a56b6a80ed403a2e86066ac5,c22a612ca28a47305a044c71ec13984da3897f27,refactor,No,Business Error,Same Method,0,Programming,12069,BIC refactored the encoding and forgot to offset 4 bytes after reading the message header.
influxdata/influxdb-java,bf0ef8bdbf7693ff2cf348066c3ad1c464725007,e88a882a1a182a097b6dfc7764c7ca8ca1f83fe4,feat,No,Business Error,Same Location,0,Domain,1678,"Bic supports writing datagrams using UDP, but does not add a check for invalid URLs after parsing."
joaovicente/Tracy,f8bf848f08c4b351584ab599a405aa13f6d73455,6cde0cfd448ef7fce6703a16e46d328851634dac,feat,Invocation,No,Same Package,1,Project & Domain,646,"BIC supports double quote annotations and adds the judgment of escape symbols in strings, but the string may be null (without this judgment, null can be output normally as string null, but with this judgment, NPE occurs)"
redis/jedis,f25d70916c5267fd8185d6a9a1f65ec08b25619b,3c6092d4d4969394254761a0c649d37f0115bd0a,feat,No,Business Error,Same Method,0,Project,503,Bic modified the requirements and logic for tuple equality judgment and deleted the judgment on score that caused the error
jboss-javassist/javassist,91f6abdd9e1e637251e9bfae381afc0c6a47c1b9,f7543857669ad5fff98d61a75a4f04d848ef4820,fix,Data Flow,No,Same Class,0,Project & Domain,1732,"For the processing of bridge methods, BIC adds the judgment of bridge methods"
haku/dlnatoad,45d0d1be82915ca6680af7ed8d8c2216916a8272,52c087cc24d9837aa1e74226a3ddf0d9f24c730c,feat,No,Business Error,Same Location,0,Domain,521,"Bic has been optimized to reduce waiting in some cases, but this will cause some directories to be skipped"
rickfast/consul-client,2220fe4969b4d1f91fe380543b717ca11be74d72,0ab8cb930ec58ad11fafc7fe434d169d2b64d760,feat,No,Business Error,Same Location,0,Project & Domain,340,"BIC adds support for LAN addresses, but does not take into account the fact that lower versions of Consul do not support the LAN field."
lets-blade/blade,6025261295098e70009f20132065be194c312fad,1c9aef2a47376ebd415fe35d23394ac15be38c34,refactor,No,API Misuse,Same Location,0,Domain,1650,"Bic changed io.netty.handler.codec.http.HttpHeaders.Names.* to io.netty.handler.codec.http.HttpHeaderNames.*, causing incompatibility"
albfernandez/javadbf,00efff7d04d117d8eb343cc864e214589fee3a89,0d2b022cb606c36065a6e81d2a6057d62e7be036,feat,Invocation,No,Same Method,0,Project & Domain,3073,"In order to be compatible with JDK6, bic cannot use the BitSet.valueof method and uses its own bit operation method, which is a logical error."
jitsi/ice4j,513fb588d65de5a1437f50c51313a98a1fe18e58,105a49749e32c0ff337f0c0263caa65e303974c1,refactor,No,Business Error,Same Class,1,Domain,3640,"Bic modified the re-transmission logic of stun client, causing it to fail to use the original WaitInterval config correctly"
marschall/memoryfilesystem,c14b3677fb45429018e21fff5016abd9e15dc922,0c399d406524571fd56dff2172a0c49237ea3311,fix,Data Flow,No,Same Package,0,Project,733,"Bic adds a function to return null for unsupported Operations, but does not perform supporting type judgment, resulting in null."
